iter	Logloss
0	0.550922019
1	0.4607087845
2	0.4006001378
3	0.3530281617
4	0.3178129847
5	0.2980189822
6	0.2803157447
7	0.2676388295
8	0.2563964335
9	0.2452379873
10	0.2366533496
11	0.230293703
12	0.2250035199
13	0.218802942
14	0.2139842082
15	0.209986288
16	0.2061857841
17	0.2026157572
18	0.2006970701
19	0.196175387
20	0.1928733614
21	0.1887899418
22	0.1858643065
23	0.182286917
24	0.1785542716
25	0.1760468049
26	0.1721312996
27	0.1694895128
28	0.1673880213
29	0.1633652977
30	0.1599471296
31	0.158173884
32	0.1537578814
33	0.151063656
34	0.1481624298
35	0.1457485933
36	0.1417734567
37	0.138801604
38	0.135639979
39	0.1338690778
40	0.1317982632
41	0.1293915198
42	0.1277571774
43	0.1246868823
44	0.1209864458
45	0.1187271144
46	0.1167152743
47	0.1153219505
48	0.1133645102
49	0.1117243703
50	0.1103316026
51	0.1091315023
52	0.1081598485
53	0.1050881604
54	0.1033541304
55	0.09994537549
56	0.09913951832
57	0.09771445168
58	0.09624043369
59	0.094991345
60	0.09356519361
61	0.09267966019
62	0.09163896451
63	0.09025016629
64	0.08831361068
65	0.08615737204
66	0.08515313836
67	0.08451708604
68	0.08403448763
69	0.08326557279
70	0.08272970554
71	0.0821098173
72	0.08164229094
73	0.08039807698
74	0.07925011472
75	0.07832232549
76	0.0775660539
77	0.0767964566
78	0.07547078036
79	0.07468935199
80	0.07400241074
81	0.07333574611
82	0.0725523217
83	0.07162498209
84	0.07037085333
85	0.06933468995
86	0.068444259
87	0.06809955781
88	0.06752433504
89	0.06691178557
90	0.06624692037
91	0.06574377292
92	0.0653940814
93	0.06438810598
94	0.06399774848
95	0.06325313817
96	0.06279170503
97	0.06191757547
98	0.06113927021
99	0.06053614293
100	0.0602203949
101	0.0597191049
102	0.05901957341
103	0.05879191672
104	0.05794419458
105	0.05740710437
106	0.05699277678
107	0.05639239111
108	0.05582283388
109	0.05562433719
110	0.05538619631
111	0.05490610987
112	0.05418962649
113	0.05370912293
114	0.05337932724
115	0.05297475702
116	0.05238733671
117	0.05207761892
118	0.05171683995
119	0.05138545717
120	0.05093459146
121	0.05066794208
122	0.05018786249
123	0.04962907451
124	0.04918245894
125	0.04871435548
126	0.04821970869
127	0.047809881
128	0.04746901595
129	0.04688441375
130	0.0464591569
131	0.04612373037
132	0.04580195932
133	0.04551045359
134	0.04512871531
135	0.04482970417
136	0.04456522577
137	0.04433612364
138	0.04395976938
139	0.04348449006
140	0.0431353605
141	0.04272427547
142	0.04226906265
143	0.0420672202
144	0.0414318964
145	0.04130061287
146	0.04112520146
147	0.04096853762
148	0.04071261719
149	0.04044723684
150	0.04014171239
151	0.03972618775
152	0.03939659159
153	0.03927691587
154	0.03900019661
155	0.03868735378
156	0.03840456323
157	0.03826366084
158	0.03800634868
159	0.03787252765
160	0.03751589723
161	0.03723575582
162	0.03694011665
163	0.03635045122
164	0.03619257106
165	0.03600398972
166	0.03583506206
167	0.03560220599
168	0.03538679761
169	0.03526700733
170	0.03499982931
171	0.03483962913
172	0.03417342537
173	0.03386135492
174	0.03355393403
175	0.03330933015
176	0.03308734703
177	0.0328534959
178	0.03274399847
179	0.03247683033
180	0.0323282053
181	0.0321744595
182	0.03174837179
183	0.03151767094
184	0.03128548196
185	0.03093661922
186	0.03078332648
187	0.03057760057
188	0.03042876345
189	0.03013257337
190	0.02985338905
191	0.02977628242
192	0.0294950474
193	0.0292055204
194	0.02895623089
195	0.02876479552
196	0.02857701963
197	0.02841594996
198	0.02808406596
199	0.02794801753
